Species,Morphometry,Body morphometry,Body pholidosis,Pholidosis,Head morphometry,Head pholidosis,Potential distribution,Niche breadth
P. dunni,6.652147383,1.348295668,4.960117061,7.196210498,6.393935363,5.184652905,3112083,15777.50367
P. hespere,7.810535454,0.858520219,4.384924212,5.958156437,8.437568004,4.080855773,94119,98.61237
P. lansbergii,10.48684916,5.882308224,6.704138585,10.90590858,10.30775249,9.05121301,14317736,102629.1214
P. nasutum,6.138326624,3.306257942,4.368489608,7.419698689,5.867220762,6.252353017,11307432,441295.817
P. ophryomegas,6.730882938,11.53802267,3.889674848,5.999949786,4.853418975,4.570998223,2902692,27633.11338
P. yucatanicum,3.197077444,3.029057479,2.710305507,3.529793609,2.996164317,2.717854815,252080,56.90014
