Species,juv_alo,juv_fol,juv_alo_b,juv_alo_h,juv_fol_b,juv_fol_h,Shape
P_lan,2.527904137,-0.081730275,2.440706854,1.701220422,-0.417846988,0.240208391,-0.018265671
P_lan,1.402248355,-0.843647732,1.590223565,1.034361935,-0.342779148,-0.797415688,0.004670591
P_lan,0.256808034,-0.276279101,-0.663090992,0.697089341,-0.423466117,0.01996957,0.005127649
P_lan,0.008354574,-0.217127442,-0.08697046,0.303073806,-0.302241467,-0.023902422,-0.052059176
P_lan,0.863899504,-0.810124238,0.342019534,0.998118334,-0.611035304,-0.541462249,0.017035548
P_lan,1.727999136,-0.611693411,-0.160109262,1.940998513,-0.497993506,-0.358453304,0.026624576
P_lan,-0.556416353,-0.356406765,1.586356853,-0.88817503,-0.838622541,0.273124294,-0.0265156
P_lan,2.789760804,-0.502602191,2.40592998,1.954363083,-0.4751558,-0.285544436,-0.001154108
P_lan,0.918194409,-0.510849088,2.113015893,0.189538479,-0.641222458,-0.114416416,-0.033744891
P_lan,0.723563234,-0.666761336,2.165179963,0.151285131,-0.854762076,-0.147728975,-0.006911961
P_lan,1.756565792,-0.603089747,1.520528668,1.067269333,-0.330104077,-0.487409352,0.000858082
P_lan,0.198163743,-0.645265985,2.776107725,-0.755068878,-0.776237181,-0.181352485,-0.007548195
P_lan,-0.048030981,-1.369888056,0.222046463,-0.437643213,-0.365441775,-1.492457017,0.007775326
P_lan,2.036070296,-0.578868105,-0.142325714,2.212892868,-0.41732779,-0.381330848,-0.0202514
P_lan,0.336292508,-0.926159785,1.089165279,0.030977615,-0.359954979,-0.952912903,-0.037348348
P_lan,1.554427037,-0.341791378,1.933921706,1.155695275,-0.399497481,-0.097355991,0.011118898
P_lan,1.700773038,1.545806381,0.058438119,1.705591986,3.378028764,-0.430887007,-0.021500268
P_lan,1.399099514,-0.645466242,0.452424575,1.098733301,-0.230058864,-0.609320672,-0.042266946
P_lan,-0.329977022,-0.872811617,0.27056865,-0.532512631,-0.438576757,-0.782369084,-0.008860534
P_lan,2.030568045,-0.63671242,1.982009904,0.991708557,-0.59141596,-0.326609607,-0.04782075
P_lan,0.870909069,-0.917635142,1.014007304,0.820593702,-0.767184542,-0.527813023,-0.066212352
P_lan,0.388815231,-0.809868922,0.851261354,0.086041821,-0.952581251,-0.249542807,-0.018481052
P_lan,1.379680002,-1.009724515,1.186691367,1.27979465,-0.630935552,-0.749741156,-0.035069022
P_lan,2.733742041,-1.169095274,0.474029425,2.563211091,-0.690688944,-0.942141964,0.009239878
P_lan,1.577980462,-0.556162565,-0.993346782,1.953893337,-0.601127305,-0.153341464,-0.026442824
P_lan,1.699704093,-1.205295581,1.900447441,1.068493303,-0.715201704,-1.011261311,-0.000716701
P_lan,1.598551548,-0.788641319,0.703333085,1.467471864,-0.959754961,-0.206324205,-0.038453113
P_lan,1.7122631,-0.892736061,0.245303502,1.756556358,-0.882494722,-0.371784096,0.080541674
P_lan,1.630321761,-0.943764666,1.856660488,1.380725907,-0.821564294,-0.534692841,0.054712613
P_lan,1.08487993,-1.29023456,0.479873393,1.096376888,-0.763124066,-1.003433156,-0.011269267
P_lan,2.699563202,-1.44353229,0.92982739,2.583223731,-0.826791891,-1.194001909,-0.059917891
P_lan,0.991756561,-1.116943837,0.97473162,0.769900698,-0.969355343,-0.638456035,0.020637799
P_lan,0.688610716,-1.26192354,-0.325973109,0.848446896,-0.759579275,-0.972610495,-0.010849834
P_lan,2.117368005,-1.708882634,0.809811717,1.650589187,-1.095042436,-1.288483297,-0.034198357
P_lan,1.314310325,-1.355233058,0.625100192,1.109360769,-1.060094073,-0.851108009,0.014432256
P_lan,2.54058064,-1.892633081,-0.18576433,2.553319716,-0.828770735,-1.793980949,-0.042997794
P_lan,1.427591038,-1.955697542,1.143609132,1.367195719,-0.896070726,-1.814199832,-0.0310262
P_lan,2.962847984,-1.895387956,0.814674013,2.898671778,-1.062280365,-1.583729094,-0.079857233
P_lan,1.944124718,-1.897826166,0.010487701,1.629640936,-1.000275511,-1.623906169,0.008793387
P_lan,1.472917478,-2.228983282,-0.287181181,1.271271875,-1.004639789,-2.075144254,-0.075773263
P_lan,1.087503445,-1.299669173,2.184364614,0.551576884,-1.070639953,-0.79105128,-0.039523296
P_lan,3.183590772,-1.450605,1.788052478,2.745906983,-1.082639066,-0.920677378,-0.039427427
P_lan,1.301417477,-1.779181772,2.116356484,0.288429732,-1.070926663,-1.405648603,0.041966218
P_lan,2.241068191,-1.792586399,-1.810096576,2.897767221,-1.143059896,-1.342178556,-0.029754091
P_lan,1.469324395,-1.946787366,-1.549215698,2.310499432,-1.340782305,-1.36038265,-0.035798931
P_lan,1.269278253,-2.581001212,-0.329864452,1.50408142,-1.150487992,-2.435595677,-0.01183408
P_lan,1.782843904,-2.164015958,0.289409823,1.645033665,-1.281353783,-1.745123078,0.007451018
P_lan,3.282575822,-2.308610333,-0.359051376,3.324723874,-1.309391726,-1.912316955,0.035230636
P_lan,3.600679151,-2.475817731,0.135822319,3.43347434,-1.425428258,-2.029652722,0.017344932
P_lan,1.03851777,-2.249656259,1.002238276,0.69615116,-1.653072641,-1.530937484,-0.073517384
P_lan,2.611435163,-2.148988253,0.432315391,2.823507222,-1.49941016,-1.521098664,-0.02969422
P_lan,2.157969716,-2.442776873,-0.822602522,2.346542943,-1.528143859,-1.885483115,-0.040702129
P_lan,1.220511127,-2.896317481,1.203860158,0.808055199,-1.793068889,-2.281734635,-0.054488867
P_lan,-6.886170009,7.36476015,-0.837734251,-6.874278146,4.651224419,5.620299464,-0.04323554
P_lan,-6.572050924,7.127532325,-2.07337138,-5.662054736,4.422463269,5.547232097,-0.125432615
P_lan,-4.817778126,5.478418471,-0.66139727,-4.793942342,4.078899485,3.58080293,-0.062771518
P_lan,-6.299487685,7.728397995,-2.626869626,-5.578901639,4.469282114,6.373972411,-0.132623225
P_lan,-4.376689371,5.969973918,-1.94005914,-3.801281581,3.955636067,4.5000786,-0.014484172
P_lan,-4.189047705,6.356897694,0.566607178,-3.986358684,3.521410362,5.279389735,-0.060673106
P_lan,-5.202523717,5.525945311,-2.875223255,-4.394412556,3.598848275,4.150350417,-0.004193386
P_lan,-5.473297648,7.281945198,-1.215587477,-5.30238085,4.006687456,6.175507856,-0.021020154
P_lan,-4.877802239,5.883517094,0.532724165,-5.192788424,3.280956092,4.885873806,-0.013623296
P_lan,-4.026750107,4.836312266,0.530304127,-4.185325478,3.401883782,3.374469997,-0.036687692
P_lan,1.936521785,-0.655001253,-0.45297261,2.10421769,-0.250086667,-0.665488527,-0.075716872
P_lan,1.77567775,-2.229991027,0.211213049,1.60002828,-1.187338018,-1.93411297,0.004479972
P_lan,0.690841865,-2.606838297,-0.364690276,1.179191384,-1.636496443,-2.016725562,0.007341333
P_lan,1.534955127,-3.177510582,-0.678256638,1.773697585,-1.756187544,-2.677240598,-0.01817849
P_lan,-3.237654491,6.298237608,-0.506558199,-2.91093546,3.447075326,5.289073379,-0.010733481
P_lan,0.036999362,-0.717173094,1.677988878,-0.371250284,-0.461822393,-0.547380317,-0.028582204
P_lan,0.178987455,-1.858606002,-0.320796807,0.558528446,-1.421552982,-1.234854338,-0.060778959
P_lan,-1.782786706,1.253292486,0.386369267,-1.844932406,0.29692769,1.314213546,0.003242741
P_lan,-0.388726198,0.672569523,-0.045739132,-0.654859995,0.693425959,0.332799181,-0.04556547
P_lan,-2.053241689,-0.297155779,-0.028638989,-1.730183731,-0.141932071,-0.303479064,-0.041735576
P_lan,-1.776186655,-2.649368012,0.097170755,-1.461373193,-2.052914165,-1.759406928,-0.030246584
P_lan,-6.355692021,6.40434779,-1.142488964,-6.07565948,3.919695868,5.050094285,-0.058156789
P_lan,1.848855606,-0.524613946,-1.78018208,2.204198352,-0.191773973,-0.493758136,-0.061266231
P_lan,-0.475344269,2.307012602,-1.565896773,-0.178654173,1.671357912,1.60775658,-0.030822106
P_lan,-0.2632532,-1.667323086,0.682877825,0.030192093,-1.219572444,-1.173142102,0.017988576
P_nas,0.093755587,-1.471502072,-1.29543359,0.264269019,-0.884297642,-1.147631119,-0.022170808
P_nas,-1.731738153,-1.520073682,0.394715426,-1.614544084,-1.41327881,-0.757499299,-0.063560641
P_nas,-0.62533065,-1.877316014,0.119521173,-0.677110191,-1.469843831,-1.197119381,-0.077043493
P_nas,-1.840164327,1.203221021,-1.348967059,-1.468460542,0.22337501,1.384028009,-0.085510002
P_nas,-2.907463597,1.458456354,-1.187616679,-2.531945329,0.123040002,1.845571037,-0.061124101
P_nas,-3.812036337,0.673767371,-0.354270538,-3.609617257,-0.093089898,0.926421177,-0.067808341
P_nas,-4.048495743,4.20446421,-1.942540457,-3.701012226,2.139845624,3.721640675,-0.025737584
P_nas,-0.975118485,-1.163435746,0.198102607,-0.56931077,-1.012803168,-0.717510437,-0.063619702
P_nas,-3.493080662,2.391870567,-1.422363636,-2.69496793,0.852296528,2.41427202,-0.055088398
P_nas,-2.99270638,2.067722157,-1.546211708,-2.119570542,0.675329714,2.175076864,-0.079887593
P_nas,-2.28156131,1.062230339,-1.530321938,-1.768002259,0.226161581,1.191395995,-0.037729148
P_nas,-0.053552598,-0.708566312,-2.024609232,0.821614289,-0.484230547,-0.531078671,-0.005686283
P_nas,-2.578095898,-2.397800669,-0.392207214,-2.329696455,-1.845884813,-1.557398455,-0.018495282
P_nas,1.723056508,-2.693432093,-1.40523269,2.166208535,-1.778521681,-1.994177221,-0.018877452
P_nas,-0.570978874,-2.862634497,0.049209534,-0.569539739,-2.228643985,-1.8410097,-0.060934149
P_nas,-2.07001152,-2.427890573,-0.113490896,-1.926690698,-1.656117727,-1.826943234,-0.055066335
P_nas,0.925243205,-2.602915615,0.583909991,0.299257143,-1.817422919,-1.92404441,-0.029705135
P_nas,-1.766275333,-1.705890556,-0.478480626,-1.380502193,-1.366907896,-1.115088401,-0.015096441
P_nas,-0.308594421,-3.024285588,-0.368582916,-0.042584872,-1.918515567,-2.381021437,0.002368098
P_nas,-3.290116027,0.638720252,-1.382509907,-3.068914472,0.806294892,0.109817096,0.010922197
P_nas,2.089830881,-3.215234479,-0.754493185,2.139281248,-1.992863974,-2.530712342,-0.062159576
P_nas,0.051995034,-1.193713519,1.28164871,-0.648551302,-0.982137926,-0.781680544,-0.018762978
P_nas,-2.117814088,2.572067545,-1.074141666,-2.404249557,1.742380759,1.831626235,0.008626769
P_nas,0.293044486,-1.60250218,-0.719686318,0.522116089,-1.026867711,-1.24470344,-0.032026024
P_nas,-2.31812392,0.710716538,0.17155027,-2.472201969,0.172838951,0.717994353,-0.011307404
P_nas,-0.425180865,-1.430789942,-0.938024341,-0.056986009,-0.946009224,-1.070678007,-0.001418644
P_nas,1.227609859,-1.708180176,-0.50396219,1.166522079,-0.8241684,-1.55310733,-0.052763161
P_nas,-0.874597628,-2.005825076,1.208028274,-1.048539157,-1.353036277,-1.509341612,-0.02905853
P_oph,1.519115998,0.897103827,-0.013140828,1.402895223,1.494024156,-0.14034817,-0.019035982
P_oph,0.437059162,1.756671416,-0.408511238,0.245580691,1.461302102,1.001261739,-0.03574107
P_oph,1.912589651,-0.161290486,-0.390983417,1.799150117,0.346036221,-0.501991749,-0.005770097
P_oph,-0.021348511,2.199137435,-2.164588268,0.001548375,1.822917471,1.352461684,-0.023739582
P_oph,2.153355464,0.197637141,1.283787201,1.176571692,0.596594352,-0.308719731,-0.007037408
P_oph,2.092528657,-1.688428293,-0.001623005,1.980796693,-0.779324543,-1.546897831,0.015072567
P_oph,2.561553379,-2.696878533,-1.198101152,2.952151825,-1.336676481,-2.410293605,-0.082573618
P_oph,2.164477266,-2.407850115,-0.687124555,2.328350369,-0.966964674,-2.323255194,-0.018684895
P_oph,2.406970483,-1.319925924,-0.323544581,2.222246663,-0.748028674,-1.12124703,-0.027944998
P_oph,1.320227692,0.908720134,1.336112687,0.756319488,1.096707911,0.288155996,-0.030626945
P_oph,3.8414676,-1.365876851,0.844589278,3.361959493,-0.667555328,-1.226037272,-0.070859476
P_oph,-2.889415337,3.303071253,-10.20190999,-1.491459482,2.552998367,2.160704619,-0.093310573
P_por,-3.589702673,-1.719163458,-0.242700262,-3.255238175,-1.467734405,-1.053755661,-0.087733812
P_yuc,0.179309139,-0.451523008,-0.109135556,0.365016198,0.139629001,-0.710660079,-0.026521442
P_yuc,0.179309139,-0.451523008,-0.109135556,0.365016198,0.139629001,-0.710660079,-0.067472666
P_yuc,0.630590632,0.313088754,-1.022911405,0.735714691,0.731870299,-0.228836324,-0.009604444
P_yuc,-1.499569492,0.040471087,-0.804589261,-1.392523959,1.210288924,-1.003744997,-0.004171438
P_yuc,-1.213665005,0.373342719,-1.481913712,-0.814284443,0.16713072,0.322928759,0.016642706
P_yuc,0.029690904,1.000734658,0.767299463,-0.278677672,0.871779147,0.552047904,-0.060229634
P_yuc,1.368181469,-2.34399239,-0.88886097,1.342340796,-1.068783964,-2.165806911,-0.010794075
P_yuc,0.994059145,-1.822907904,-1.451966717,1.320731167,-0.659627419,-1.824746599,-0.018535473
P_yuc,0.544239599,-2.529058951,-2.261758017,1.304851169,-1.500016584,-1.996828341,0.091435953
P_yuc,1.697507952,-0.242600447,-0.558246383,1.603640358,0.32031359,-0.619025523,0.041477568
