"Species","dnc_j","juv_alo","juv_fol","juv_alo_b","juv_alo_h","juv_fol_b","juv_fol_h"
"P_dun",0.776857495307922,-0.302467599788488,-2.36832763888686,-0.852164514196955,-0.024599895803143,-1.55101755804721,-1.78233944272973
"P_dun",0.8447585105896,-3.13754376175979,4.21800364287051,-2.04620530492032,-2.49412066072526,3.03731511188688,2.89465275613381
"P_dun",0.8447585105896,-1.05813116944987,-0.155248887373226,-1.52576615339633,-0.303794201460059,0.720468947435741,-0.853412738181508
"P_dun",0.369157493114471,3.51460362155143,-1.57306110497491,-0.724545706190804,3.8998147025569,-0.711847453527795,-1.42735252700781
"P_dun",0.000871443713549525,1.4699022021607,-2.97820685553808,-0.738286782922802,2.33137770698051,-1.9228019492252,-2.29000014845052
"P_dun",0.354016661643982,0.940616107224966,-1.08690670082126,-1.3527251528824,1.24110010548498,-0.720028457601713,-0.794758244894235
"P_dun",0.369157493114471,3.51460362155143,-1.57306110497491,-0.724545706190804,3.8998147025569,-0.711847453527795,-1.42735252700781
"P_dun",0.445092022418976,0.425452805469839,-0.876323756601056,-0.940493793832166,1.01639721175084,-0.462807710641711,-0.80666068487555
"P_dun",0.000871443713549525,1.4699022021607,-2.97820685553808,-0.738286782922802,2.33137770698051,-1.9228019492252,-2.29000014845052
"P_dun",0.8447585105896,-3.13754376175979,4.21800364287051,-2.04620530492032,-2.49412066072526,3.03731511188688,2.89465275613381
"P_dun",0.8447585105896,-1.05813116944987,-0.155248887373226,-1.52576615339633,-0.303794201460059,0.720468947435741,-0.853412738181508
"P_dun",0.776857495307922,-0.302467599788488,-2.36832763888686,-0.852164514196955,-0.024599895803143,-1.55101755804721,-1.78233944272973
"P_hes",0.263721942901611,-8.76350059158321,8.05134376006988,-3.18535083740782,-8.60503823931928,6.37261778971739,5.1987198363447
"P_hes",0.263721942901611,-0.952965138034725,2.09318732259019,-2.32683061813692,-0.16747023561905,1.98769357795392,1.11786406315892
"P_hes",0.263721942901611,-8.76350059158321,8.05134376006988,-3.18535083740782,-8.60503823931928,6.37261778971739,5.1987198363447
"P_hes",0.263721942901611,-0.952965138034725,2.09318732259019,-2.32683061813692,-0.16747023561905,1.98769357795392,1.11786406315892
"P_lan",0.402689069509506,0.833827545426475,0.686212964754116,1.62657693625716,-0.224654327020747,-0.0330436953726293,0.96601151997905
"P_lan",0.0724539831280708,-1.01432873451033,-1.37752661036875,0.195497015793763,-0.515467655214788,-1.12376746677315,-0.871233189408699
"P_lan",0.050693791359663,3.39993882456597,-0.756055806797279,0.612333675031984,2.6531155732337,-0.609688673715363,-0.506505052003545
"P_lan",0.412793666124344,-0.0799900891733638,2.20063282981877,1.90872469813337,-0.501703345271684,0.896155551221903,2.07563697636446
"P_lan",0.412793666124344,-0.588160496893461,1.39615999561511,1.99768108485372,-1.29253416151611,0.766664502454875,1.16085572473176
"P_lan",0.412793666124344,-0.887850598260343,2.28280333715413,-0.0133021007218394,-0.877751202046523,1.43697026609906,1.82789970470356
"P_lan",0.412793666124344,-0.846279378436807,0.906550811869426,0.312866186989037,-0.925438001513847,0.899543512315796,0.41407617299719
"P_lan",0.412793666124344,0.374140322812609,1.72285598635278,1.72293258362547,-0.399759854150592,0.390065811750934,1.9183799928994
"P_lan",0.412793666124344,0.364009121887305,1.05352074546653,1.88870944793976,-0.231390672452075,0.537453475488804,0.934809294213572
"P_lan",0.412793666124344,-0.453719781601078,0.87259715856519,1.89851816030618,-1.22937548834347,0.628957033240466,0.650284503891629
"P_lan",0.412793666124344,-0.200251242675068,0.993622681410493,0.737816853623073,0.127637434460841,0.379146569470997,0.98588371295296
"P_lan",0.412793666124344,-0.688201509493297,1.19732900824004,2.42055818432038,-1.58620076581799,0.236310161535699,1.37045253614794
"P_lan",0.412793666124344,0.710569770129415,0.797926928935822,1.55607401972187,0.0726444018310787,0.111700963618901,0.947288423582098
"P_lan",0.412793666124344,-0.0720781118829386,0.768594564495267,0.934997337322433,-0.46424824645908,0.0938726583793808,0.913086086512324
"P_lan",0.412793666124344,-0.1570956400683,1.03125552029236,-0.0469651035780853,-0.153866630328241,0.301498647523303,1.10255626585348
"P_lan",0.412793666124344,1.06944281337911,0.242866108153677,1.36155876432197,0.527894384077763,0.350775186184778,0.0645032386844651
"P_lan",0.412793666124344,-0.0108969674067884,0.751812429007585,0.756026035688639,-0.608749820098112,0.0519209218024718,0.983982731915722
"P_lan",0.412793666124344,0.52529585528252,0.816351071498637,0.710922867193994,0.505427954976995,-0.025795247763925,1.15262763659966
"P_lan",0.412793666124344,-2.60799163470552,-0.150644955999351,-1.61778187785366,-2.34294579258499,0.326007662893807,-0.48655440771526
"P_lan",0.412793666124344,0.564610930310102,-0.721596563452319,0.535250757558917,0.335552112601979,0.0376058692629667,-1.00097034108108
"P_lan",0.412793666124344,1.68687025348311,-0.51888156199037,0.542919204367765,1.56115787179025,-0.0656071681085585,-0.630641586287361
"P_lan",0.412793666124344,1.83246783923674,0.247261841442762,2.97759063387611,0.838580897397359,-0.117003514033387,0.42038070627255
"P_lan",0.412793666124344,-0.182078798218336,0.0499745587834836,0.900988920863735,-0.487812090634454,-0.184624084448399,0.247196234272566
"P_lan",0.412793666124344,1.33816168943149,0.644477611995864,2.12037723299338,0.702204206209324,-0.13508259804227,0.965573062661066
"P_lan",0.412793666124344,0.664504827936546,0.884304094387985,0.250263579677945,0.743813132388223,-0.361957265675347,1.50634268146355
"P_lan",0.412793666124344,0.879192944733291,-0.0381253991890671,3.00708496966444,0.170927070800639,-0.452129108704272,0.352940401640429
